State,County,Date Collected,Date Detected,HPAI Strain,Species
Wisconsin,Waushara,04/24/2022,05/05/2022,EA H5N1,Red fox
Wisconsin,Rock,04/19/2022,05/05/2022,EA H5N1,Red fox
Wisconsin,Dane,05/05/2022,05/06/2022,EA H5N1,Red fox
Wisconsin,Jefferson,04/09/2022,05/06/2022,EA H5N1,Red fox
Wisconsin,Jefferson,04/09/2022,05/06/2022,EA H5N1,Red fox
Minnesota,Anoka,04/22/2022,05/10/2022,EA H5N1,Red fox
Iowa,Hancock,05/06/2022,05/11/2022,EA/AM H5N1,Red fox
Michigan,Lapeer,04/14/2022,05/11/2022,EA H5N1,Red fox
Michigan,St Clair,04/13/2022,05/11/2022,EA H5N1,Red fox
Michigan,Macomb,04/01/2022,05/11/2022,EA H5N1,Red fox
Michigan,Macomb,04/01/2022,05/11/2022,EA H5N1,Red fox
Minnesota,Hennepin,05/10/2022,05/12/2022,EA H5N1,Red fox
Minnesota,Washington,05/10/2022,05/12/2022,EA H5N1,Red fox
Minnesota,Dakota,05/10/2022,05/12/2022,EA H5N1,Red fox
Minnesota,Hennepin,05/10/2022,05/12/2022,EA H5N1,Red fox
Wisconsin,Grant,05/06/2022,05/13/2022,EA H5N1,Red fox
Wisconsin,Grant,05/06/2022,05/13/2022,EA H5N1,Red fox
Wisconsin,Adams,05/03/2022,05/13/2022,EA H5N1,Red fox
Wisconsin,Adams,05/03/2022,05/13/2022,EA H5N1,Red fox
Wisconsin,Rock,04/19/2022,05/13/2022,EA H5N1,Red fox
Wisconsin,Dane,04/12/2022,05/13/2022,EA H5N1,Red fox
Wisconsin,Jefferson,04/11/2022,05/13/2022,EA H5N1,Red fox
New York,Erie,04/27/2022,05/16/2022,EA H5N1,Red fox
New York,Erie,04/27/2022,05/16/2022,EA H5N1,Red fox
New York,St. Lawrence,04/15/2022,05/16/2022,EA H5N1,Red fox
New York,St Lawrence,04/15/2022,05/16/2022,EA H5N1,Red fox
New York,Tompkins,04/11/2022,05/16/2022,EA H5N1,Red fox
Iowa,Cedar,05/11/2022,05/18/2022,EA H5N1,Red fox
New York,Niagara,05/10/2022,05/19/2022,EA H5N1,Red fox
Wisconsin,Lincoln,05/05/2022,05/24/2022,EA H5N1,Bobcat
Wisconsin,Lincoln,04/24/2022,05/24/2022,EA H5N1,Bobcat
Alaska,Aleutians West,05/10/2022,05/25/2022,EA H5N1,Red fox
Minnesota,Itasca,05/13/2022,05/27/2022,EA H5N1,Red fox
Minnesota,Stearns,05/10/2022,05/27/2022,EA H5N1,Red fox
New York,Erie,05/20/2022,05/27/2022,EA H5N1,Red fox
Iowa,Buchanan,05/20/2022,05/31/2022,EA H5N1,Virginia opossum
Iowa,Buchanan,05/20/2022,05/31/2022,EA H5N1,Virginia opossum
North Dakota,Dickey,05/18/2022,06/02/2022,EA H5N1,Red fox
Minnesota,Scott,05/29/2022,06/03/2022,EA H5N1,Red fox
Michigan,Osceola,05/19/2022,06/07/2022,EA H5N1,Red fox
North Dakota,Burleigh,05/18/2022,06/08/2022,EA H5N1,Red fox
Utah,Salt Lake,05/26/2022,06/08/2022,EA H5N1,Red fox
Michigan,Otsego,05/18/2022,06/09/2022,EA H5N1,Red fox
Michigan,Midland,05/10/2022,06/09/2022,EA H5N1,Red fox
Michigan,Midland,05/10/2022,06/09/2022,EA H5N1,Red fox
Michigan,Osceola,05/05/2022,06/09/2022,EA H5N1,Red fox
Washington,Franklin,06/06/2022,06/14/2022,EA H5N1,Raccoon
Washington,Franklin,06/06/2022,06/14/2022,EA H5N1,Raccoon
Washington,Franklin,06/06/2022,06/14/2022,EA H5N1,Raccoon
Washington,Franklin,06/06/2022,06/14/2022,EA H5N1,Raccoon
Michigan,Muskegon,06/01/2022,06/17/2022,EA H5N1,Red fox
Michigan,Bay,05/18/2022,06/17/2022,EA H5N1,Red fox
Michigan,Gladwin,05/14/2022,06/17/2022,EA H5N1,Red fox
Michigan,Wexford,05/03/2022,06/17/2022,EA H5N1,Coyote
Idaho,Latah,06/05/2022,06/21/2022,EA H5N1,Striped skunk
Idaho,Adams,06/07/2022,06/22/2022,EA H5N1,Striped skunk
Idaho,Adams,06/07/2022,06/22/2022,EA H5N1,Striped skunk
Michigan,Iron,06/20/2022,06/24/2022,EA H5N1,Raccoon
Michigan,Chippewa,05/31/2022,06/24/2022,EA H5N1,Red fox
Wisconsin,St Croix,04/14/2022,06/29/2022,EA H5N1,Fisher
Maine,Lincoln,06/27/2022,07/01/2022,EA H5N1,Harbor seal
Maine,Sagadahoc,06/26/2022,07/01/2022,EA H5N1,Harbor seal
